PersonID,Role,Age,OwnMonthlyIncome,ParentMonthlyIncome,CumulativeFamilyIncome,FamilySize,IncomeBracket,Occupation,MaritalStatus,RecommendedPlan,PremiumType,PlanMonthlyPayment,AvgMaxCoverage
25,Child,8,0,61853,61853,2,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
26,Adult,46,139854,0,139854,1,High,Professional,Single,Protability Insurance,Premier,18613,326569
27,Adult,54,147069,0,236371,1,High,Manager,Married,Accidental Coverage,Premier,15431,470322
28,Adult,35,52200,0,101181,4,Medium,Sales Associate,Married,Family Health Insurance,Lite,17575,499383
29,Adult,55,94877,0,198858,1,Medium,Clerical,Married,Parents Health Insurance,Lite,10404,573070
30,Adult,25,110353,0,227220,3,High,Executive,Married,Family Health Insurance,Premier,25574,499383
31,Adult,37,89302,0,89302,1,Medium,White-collar,Single,Protability Insurance,Lite,10315,326569
32,Child,8,0,105712,105712,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
33,Adult,60,40968,0,135845,1,Low,Factory Worker,Married,Parents Health Insurance,Basic,4515,573070
34,Adult,55,127037,0,176018,1,High,Entrepreneur,Married,Parents Health Insurance,Premier,18790,573070
35,Teen,14,0,89302,89302,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
36,Child,3,0,105712,105712,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
37,Adult,55,42112,0,42112,1,Low,Blue-collar,Single,Parents Health Insurance,Basic,4515,573070
38,Child,6,0,95438,95438,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
39,Child,10,0,61853,61853,2,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
40,Adult,46,94877,0,136989,3,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
41,Adult,52,124740,0,124740,1,High,Manager,Single,Accidental Coverage,Premier,15431,470322
42,Teen,19,0,52200,52200,3,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
43,Adult,49,94877,0,94877,1,Medium,White-collar,Single,Individual Health Insurance,Lite,13437,669409
44,Adult,23,44710,0,44710,1,Low,Factory Worker,Single,Protability Insurance,Basic,6790,326569
45,Teen,17,0,94877,94877,4,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
46,Adult,55,50305,0,50305,1,Medium,White-collar,Single,Parents Health Insurance,Lite,10404,573070
47,Adult,63,42112,0,42112,1,Low,Service Worker,Single,Parents Health Insurance,Basic,4515,573070
48,Adult,30,127037,0,168348,1,High,Manager,Married,Individual Health Insurance,Premier,18299,669409
49,Young Adult,22,63603,0,63603,1,Medium,Clerical,Single,Individual Health Insurance,Lite,13437,669409
50,Child,7,0,77923,77923,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
51,Child,6,0,77923,77923,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
52,Adult,39,110353,0,110353,1,High,Entrepreneur,Single,Individual Health Insurance,Premier,18299,669409
53,Child,6,0,141451,141451,3,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
54,Adult,48,64266,0,174867,2,Medium,Factory Worker,Married,Family Health Insurance,Lite,17575,499383
55,Child,4,0,64718,64718,2,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
56,Adult,45,55459,0,96427,2,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
57,Adult,35,139854,0,256721,3,High,Blue-collar,Married,Family Health Insurance,Premier,25574,499383
58,Adult,56,92044,0,133012,1,Medium,Technician,Married,Parents Health Insurance,Lite,10404,573070
59,Adult,62,110353,0,110353,1,High,Entrepreneur,Single,Parents Health Insurance,Premier,18790,573070
60,Adult,45,124740,0,235341,2,High,Executive,Married,Family Health Insurance,Premier,25574,499383
61,Adult,51,36771,0,36771,1,Low,Factory Worker,Single,Accidental Coverage,Basic,8791,470322
62,Teen,13,0,89302,89302,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
63,Adult,54,147069,0,294138,4,High,Executive,Married,Family Health Insurance,Premier,25574,499383
64,Teen,14,0,50305,50305,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
65,Teen,16,0,103981,103981,4,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
66,Adult,64,14734,0,14734,1,Low,Factory Worker,Single,Parents Health Insurance,Basic,4515,573070
67,Adult,25,52200,0,52200,1,Medium,Clerical,Single,Individual Health Insurance,Lite,13437,669409
68,Adult,43,88061,0,152327,2,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
69,Adult,31,144726,0,181497,1,High,Entrepreneur,Married,Protability Insurance,Premier,18613,326569
70,Adult,35,49203,0,49203,1,Low,Factory Worker,Single,Protability Insurance,Basic,6790,326569
71,Adult,62,37229,0,164266,1,Low,Factory Worker,Married,Parents Health Insurance,Basic,4515,573070
72,Adult,30,139854,0,139854,1,High,Professional,Single,Accidental Coverage,Premier,15431,470322
73,Young Adult,22,48981,0,143496,1,Low,Factory Worker,Married,Individual Health Insurance,Basic,4712,669409
74,Young Adult,19,50305,0,145182,4,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
75,Adult,42,110353,0,152465,1,High,Entrepreneur,Married,Accidental Coverage,Premier,15431,470322
76,Adult,51,147069,0,147069,1,High,Entrepreneur,Single,Accidental Coverage,Premier,15431,470322
77,Adult,32,50305,0,50305,1,Medium,Clerical,Single,Protability Insurance,Lite,10315,326569
78,Adult,65,88061,0,88061,1,Medium,Clerical,Single,Parents Health Insurance,Lite,10404,573070
79,Teen,17,0,110601,110601,3,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
80,Child,8,0,40931,40931,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
81,Child,4,0,105712,105712,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
82,Adult,34,124740,0,124740,1,High,Entrepreneur,Single,Protability Insurance,Premier,18613,326569
83,Teen,16,0,103981,103981,5,High,Dependent,Single,Covid Coverage,Premier,8978,541031
84,Child,11,0,128696,128696,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
85,Adult,62,94877,0,211744,1,Medium,White-collar,Married,Parents Health Insurance,Lite,10404,573070
86,Young Adult,22,52200,0,101403,3,Medium,Factory Worker,Married,Family Health Insurance,Lite,17575,499383
87,Adult,28,107277,0,107277,1,High,Professional,Single,Protability Insurance,Premier,18613,326569
88,Adult,57,52200,0,52200,1,Medium,Sales Associate,Single,Parents Health Insurance,Lite,10404,573070
89,Adult,53,94877,0,94877,1,Medium,Technician,Single,Individual Health Insurance,Lite,13437,669409
90,Teen,19,0,139854,139854,2,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
91,Adult,57,110353,0,174619,1,High,Entrepreneur,Married,Parents Health Insurance,Premier,18790,573070
92,Child,10,0,48211,48211,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
93,Adult,25,42112,0,136989,1,Low,Service Worker,Married,Protability Insurance,Basic,6790,326569
94,Adult,51,89302,0,89302,1,Medium,Technician,Single,Individual Health Insurance,Lite,13437,669409
95,Adult,43,116867,0,158979,3,High,Manager,Married,Family Health Insurance,Premier,25574,499383
96,Adult,39,22417,0,74617,1,Low,Blue-collar,Married,Accidental Coverage,Basic,8791,470322
97,Adult,64,144726,0,144726,1,High,Executive,Single,Parents Health Insurance,Premier,18790,573070
98,Adult,34,41311,0,41311,1,Low,Blue-collar,Single,Individual Health Insurance,Basic,4712,669409
99,Adult,50,50305,0,65039,4,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
100,Adult,42,147069,0,147069,1,High,Entrepreneur,Single,Accidental Coverage,Premier,15431,470322
101,Child,7,0,141451,141451,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
102,Teen,13,0,107277,107277,5,High,Dependent,Single,Covid Coverage,Premier,8978,541031
103,Child,7,0,85559,85559,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
104,Adult,50,144726,0,144726,1,High,Entrepreneur,Single,Accidental Coverage,Premier,15431,470322
105,Adult,46,139854,0,203457,2,High,Executive,Married,Family Health Insurance,Premier,25574,499383
106,Adult,41,147069,0,147069,1,High,Manager,Single,Accidental Coverage,Premier,15431,470322
107,Teen,15,0,42112,42112,5,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
108,Child,7,0,27718,27718,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
109,Adult,37,103981,0,144949,2,High,Service Worker,Married,Family Health Insurance,Premier,25574,499383
110,Adult,65,40968,0,40968,1,Low,Blue-collar,Single,Parents Health Insurance,Basic,4515,573070
111,Young Adult,19,64266,0,64266,1,Medium,White-collar,Single,Protability Insurance,Lite,10315,326569
112,Adult,24,44710,0,44710,1,Low,Service Worker,Single,Individual Health Insurance,Basic,4712,669409
113,Adult,62,147069,0,239113,1,High,Entrepreneur,Married,Parents Health Insurance,Premier,18790,573070
114,Adult,42,103981,0,214582,2,High,Entrepreneur,Married,Family Health Insurance,Premier,25574,499383
115,Adult,27,103981,0,251050,2,High,Entrepreneur,Married,Family Health Insurance,Premier,25574,499383
116,Child,12,0,107665,107665,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
117,Adult,61,40968,0,89949,1,Low,Service Worker,Married,Parents Health Insurance,Basic,4515,573070
118,Adult,52,94877,0,94877,1,Medium,White-collar,Single,Individual Health Insurance,Lite,13437,669409
119,Child,8,0,64718,64718,4,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
120,Adult,37,55459,0,55459,1,Medium,Sales Associate,Single,Protability Insurance,Lite,10315,326569
121,Adult,60,36771,0,183840,1,Low,Factory Worker,Married,Parents Health Insurance,Basic,4515,573070
122,Young Adult,21,92044,0,202645,3,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
123,Adult,40,36771,0,36771,1,Low,Service Worker,Single,Individual Health Insurance,Basic,4712,669409
124,Adult,61,14734,0,78337,1,Low,Service Worker,Married,Parents Health Insurance,Basic,4515,573070
125,Adult,25,107277,0,202154,4,High,Service Worker,Married,Family Health Insurance,Premier,25574,499383
126,Adult,37,124740,0,269466,1,High,Executive,Married,Protability Insurance,Premier,18613,326569
127,Child,4,0,64718,64718,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
128,Adult,59,94515,0,94515,1,Medium,Sales Associate,Single,Parents Health Insurance,Lite,10404,573070
129,Child,11,0,126736,126736,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
130,Teen,17,0,64266,64266,3,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
131,Adult,24,116867,0,131784,4,High,Executive,Married,Family Health Insurance,Premier,25574,499383
132,Adult,65,52200,0,52200,1,Medium,White-collar,Single,Parents Health Insurance,Lite,10404,573070
133,Teen,17,0,63603,63603,5,Medium,Dependent,Single,Covid Coverage,Lite,5292,541031
134,Adult,47,52200,0,52200,1,Medium,Sales Associate,Single,Accidental Coverage,Lite,14445,470322
135,Adult,44,110601,0,147830,2,High,Professional,Married,Family Health Insurance,Premier,25574,499383
136,Young Adult,19,92044,0,155647,3,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
137,Adult,59,14734,0,29468,1,Low,Blue-collar,Married,Parents Health Insurance,Basic,4515,573070
138,Adult,48,110601,0,217878,4,High,Executive,Married,Family Health Insurance,Premier,25574,499383
139,Adult,50,41311,0,181165,1,Low,Service Worker,Married,Individual Health Insurance,Basic,4712,669409
140,Adult,34,63603,0,203457,2,Medium,Service Worker,Married,Family Health Insurance,Lite,17575,499383
141,Adult,54,88061,0,137042,2,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
142,Adult,29,124740,0,235093,2,High,Professional,Married,Family Health Insurance,Premier,25574,499383
143,Adult,37,116867,0,116867,1,High,Executive,Single,Accidental Coverage,Premier,15431,470322
144,Adult,25,89302,0,138283,4,Medium,Factory Worker,Married,Family Health Insurance,Lite,17575,499383
145,Teen,14,0,110353,110353,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
146,Adult,27,139854,0,204120,4,High,Manager,Married,Family Health Insurance,Premier,25574,499383
147,Child,9,0,126736,126736,2,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
148,Child,8,0,108000,108000,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
149,Adult,46,52200,0,159477,1,Medium,Technician,Married,Protability Insurance,Lite,10315,326569
150,Adult,25,94877,0,94877,1,Medium,Technician,Single,Protability Insurance,Lite,10315,326569
151,Adult,38,94877,0,143858,2,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
152,Adult,50,50305,0,91273,4,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
153,Child,5,0,107665,107665,4,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
154,Teen,18,0,107277,107277,2,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
155,Adult,32,92044,0,141025,1,Medium,White-collar,Married,Individual Health Insurance,Lite,13437,669409
156,Adult,26,40968,0,40968,1,Low,Service Worker,Single,Protability Insurance,Basic,6790,326569
157,Adult,52,36771,0,36771,1,Low,Blue-collar,Single,Individual Health Insurance,Basic,4712,669409
158,Teen,15,0,107277,107277,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
159,Adult,60,107277,0,107277,1,High,Manager,Single,Parents Health Insurance,Premier,18790,573070
160,Adult,29,110353,0,250207,3,High,Factory Worker,Married,Family Health Insurance,Premier,25574,499383
161,Adult,42,127037,0,191303,4,High,Professional,Married,Family Health Insurance,Premier,25574,499383
162,Child,12,0,126736,126736,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
163,Teen,18,0,92044,92044,2,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
164,Adult,27,127037,0,127037,1,High,Professional,Single,Protability Insurance,Premier,18613,326569
165,Adult,49,49203,0,49203,1,Low,Blue-collar,Single,Protability Insurance,Basic,6790,326569
166,Adult,50,48981,0,48981,1,Low,Blue-collar,Single,Protability Insurance,Basic,6790,326569
167,Adult,30,42112,0,42112,1,Low,Service Worker,Single,Accidental Coverage,Basic,8791,470322
168,Adult,46,48981,0,48981,1,Low,Factory Worker,Single,Protability Insurance,Basic,6790,326569
169,Adult,52,92044,0,92044,1,Medium,White-collar,Single,Individual Health Insurance,Lite,13437,669409
170,Adult,43,50305,0,50305,1,Medium,Clerical,Single,Protability Insurance,Lite,10315,326569
171,Adult,25,116867,0,116867,1,High,Professional,Single,Protability Insurance,Premier,18613,326569
172,Child,4,0,83435,83435,4,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
173,Child,7,0,44481,44481,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
174,Adult,48,124740,0,124740,1,High,Entrepreneur,Single,Individual Health Insurance,Premier,18299,669409
175,Adult,26,88061,0,152327,2,Medium,Factory Worker,Married,Family Health Insurance,Lite,17575,499383
176,Adult,61,89302,0,139607,1,Medium,Sales Associate,Married,Parents Health Insurance,Lite,10404,573070
177,Adult,58,144726,0,208329,1,High,Entrepreneur,Married,Parents Health Insurance,Premier,18790,573070
178,Adult,26,92044,0,180105,4,Medium,Service Worker,Married,Family Health Insurance,Lite,17575,499383
179,Child,11,0,135386,135386,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
180,Adult,30,139854,0,139854,1,High,Professional,Single,Protability Insurance,Premier,18613,326569
181,Child,11,0,77923,77923,4,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
182,Adult,23,52200,0,52200,1,Medium,White-collar,Single,Individual Health Insurance,Lite,13437,669409
183,Adult,61,88061,0,102795,1,Medium,White-collar,Married,Parents Health Insurance,Lite,10404,573070
184,Adult,53,127037,0,179237,1,High,Executive,Married,Accidental Coverage,Premier,15431,470322
185,Adult,53,50305,0,99508,2,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
186,Child,12,0,77923,77923,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
187,Adult,37,17314,0,54543,1,Low,Blue-collar,Married,Protability Insurance,Basic,6790,326569
188,Child,5,0,70005,70005,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
189,Adult,58,49203,0,49203,1,Low,Blue-collar,Single,Parents Health Insurance,Basic,4515,573070
190,Adult,48,88061,0,88061,1,Medium,Sales Associate,Single,Accidental Coverage,Lite,14445,470322
191,Adult,42,144726,0,208992,2,High,Manager,Married,Family Health Insurance,Premier,25574,499383
192,Adult,27,89302,0,89302,1,Medium,Clerical,Single,Individual Health Insurance,Lite,13437,669409
193,Adult,40,124740,0,235093,2,High,Blue-collar,Married,Family Health Insurance,Premier,25574,499383
194,Adult,28,17314,0,17314,1,Low,Service Worker,Single,Protability Insurance,Basic,6790,326569
195,Adult,34,14734,0,14734,1,Low,Factory Worker,Single,Individual Health Insurance,Basic,4712,669409
196,Adult,26,64266,0,64266,1,Medium,Technician,Single,Individual Health Insurance,Lite,13437,669409
197,Adult,49,17314,0,17314,1,Low,Service Worker,Single,Protability Insurance,Basic,6790,326569
198,Teen,14,0,88061,88061,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
199,Adult,41,52200,0,52200,1,Medium,Sales Associate,Single,Protability Insurance,Lite,10315,326569
200,Child,11,0,24174,24174,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
201,Adult,65,127037,0,168348,1,High,Executive,Married,Parents Health Insurance,Premier,18790,573070
202,Adult,32,52200,0,52200,1,Medium,Technician,Single,Individual Health Insurance,Lite,13437,669409
203,Adult,64,52200,0,52200,1,Medium,Technician,Single,Parents Health Insurance,Lite,10404,573070
204,Adult,39,110601,0,152713,1,High,Manager,Married,Protability Insurance,Premier,18613,326569
205,Young Adult,21,94515,0,94515,1,Medium,Sales Associate,Single,Protability Insurance,Lite,10315,326569
206,Adult,55,50305,0,99508,1,Medium,White-collar,Married,Parents Health Insurance,Lite,10404,573070
207,Adult,53,147069,0,161803,1,High,Professional,Married,Protability Insurance,Premier,18613,326569
208,Adult,28,139854,0,250455,4,High,Executive,Married,Family Health Insurance,Premier,25574,499383
209,Adult,62,64266,0,64266,1,Medium,Technician,Single,Parents Health Insurance,Lite,10404,573070
210,Child,11,0,37748,37748,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
211,Adult,52,116867,0,158178,2,High,Factory Worker,Married,Family Health Insurance,Premier,25574,499383
212,Adult,42,36771,0,131286,1,Low,Service Worker,Married,Protability Insurance,Basic,6790,326569
213,Child,10,0,110049,110049,2,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
214,Teen,18,0,63603,63603,2,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
215,Adult,27,40968,0,40968,1,Low,Factory Worker,Single,Individual Health Insurance,Basic,4712,669409
216,Child,7,0,141451,141451,4,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
217,Adult,62,50305,0,105764,1,Medium,White-collar,Married,Parents Health Insurance,Lite,10404,573070
218,Child,11,0,77923,77923,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
219,Adult,47,55459,0,144761,3,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
220,Adult,29,107277,0,214554,1,High,Executive,Married,Accidental Coverage,Premier,15431,470322
221,Child,8,0,141451,141451,3,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
222,Child,2,0,107665,107665,4,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
223,Young Adult,21,127037,0,221552,2,High,Executive,Married,Family Health Insurance,Premier,25574,499383
224,Adult,25,44710,0,44710,1,Low,Factory Worker,Single,Individual Health Insurance,Basic,4712,669409
225,Adult,57,14917,0,14917,1,Low,Blue-collar,Single,Parents Health Insurance,Basic,4515,573070
226,Teen,14,0,37229,37229,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
227,Child,6,0,148817,148817,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
228,Child,9,0,24174,24174,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
229,Child,3,0,27718,27718,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
230,Adult,31,52200,0,52200,1,Medium,Clerical,Single,Accidental Coverage,Lite,14445,470322
231,Teen,18,0,110601,110601,4,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
232,Adult,63,14734,0,14734,1,Low,Service Worker,Single,Parents Health Insurance,Basic,4515,573070
233,Adult,59,64266,0,64266,1,Medium,Sales Associate,Single,Parents Health Insurance,Lite,10404,573070
234,Adult,51,107277,0,107277,1,High,Manager,Single,Accidental Coverage,Premier,15431,470322
235,Adult,57,144726,0,189436,1,High,Professional,Married,Parents Health Insurance,Premier,18790,573070
236,Teen,19,0,124740,124740,2,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
237,Young Adult,21,92044,0,92044,1,Medium,Sales Associate,Single,Protability Insurance,Lite,10315,326569
238,Child,11,0,48211,48211,1,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
239,Adult,55,41311,0,129372,1,Low,Service Worker,Married,Parents Health Insurance,Basic,4515,573070
240,Adult,37,63603,0,158118,3,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
241,Adult,56,14917,0,29834,1,Low,Factory Worker,Married,Parents Health Insurance,Basic,4515,573070
242,Adult,63,110353,0,110353,1,High,Entrepreneur,Single,Parents Health Insurance,Premier,18790,573070
243,Adult,46,50305,0,87076,3,Medium,Technician,Married,Family Health Insurance,Lite,17575,499383
244,Adult,33,22417,0,22417,1,Low,Service Worker,Single,Accidental Coverage,Basic,8791,470322
245,Adult,35,103981,0,103981,1,High,Executive,Single,Protability Insurance,Premier,18613,326569
246,Adult,38,110353,0,255079,3,High,Factory Worker,Married,Family Health Insurance,Premier,25574,499383
247,Adult,43,36771,0,36771,1,Low,Service Worker,Single,Individual Health Insurance,Basic,4712,669409
248,Adult,64,50305,0,99508,1,Medium,White-collar,Married,Parents Health Insurance,Lite,10404,573070
249,Adult,50,36771,0,36771,1,Low,Blue-collar,Single,Accidental Coverage,Basic,8791,470322
250,Child,6,0,107665,107665,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
251,Adult,62,37229,0,86210,1,Low,Blue-collar,Married,Parents Health Insurance,Basic,4515,573070
252,Teen,15,0,50305,50305,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
253,Teen,13,0,49203,49203,5,Low,Dependent,Single,Children Health Insurance,Basic,9480,299273
254,Teen,13,0,124740,124740,5,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
255,Adult,43,88061,0,88061,1,Medium,Technician,Single,Accidental Coverage,Lite,14445,470322
256,Child,5,0,92009,92009,3,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
257,Adult,30,64266,0,127869,2,Medium,White-collar,Married,Family Health Insurance,Lite,17575,499383
258,Young Adult,21,42112,0,42112,1,Low,Factory Worker,Single,Protability Insurance,Basic,6790,326569
259,Adult,24,63603,0,203457,1,Medium,Sales Associate,Married,Accidental Coverage,Lite,14445,470322
260,Adult,39,49203,0,49203,1,Low,Service Worker,Single,Accidental Coverage,Basic,8791,470322
261,Adult,40,52200,0,93511,2,Medium,Factory Worker,Married,Family Health Insurance,Lite,17575,499383
262,Teen,14,0,92044,92044,1,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
263,Adult,51,14734,0,14734,1,Low,Blue-collar,Single,Individual Health Insurance,Basic,4712,669409
264,Young Adult,20,94515,0,221552,4,Medium,Clerical,Married,Family Health Insurance,Lite,17575,499383
265,Young Adult,19,94515,0,204868,4,Medium,Service Worker,Married,Family Health Insurance,Lite,17575,499383
266,Adult,26,144726,0,239603,3,High,Entrepreneur,Married,Family Health Insurance,Premier,25574,499383
267,Adult,31,139854,0,176625,3,High,Executive,Married,Family Health Insurance,Premier,25574,499383
268,Adult,51,50305,0,113908,1,Medium,Clerical,Married,Accidental Coverage,Lite,14445,470322
269,Adult,44,55459,0,195313,3,Medium,Factory Worker,Married,Family Health Insurance,Lite,17575,499383
270,Adult,52,88061,0,88061,1,Medium,Clerical,Single,Accidental Coverage,Lite,14445,470322
271,Adult,33,89302,0,183817,3,Medium,Sales Associate,Married,Family Health Insurance,Lite,17575,499383
272,Adult,51,116867,0,116867,1,High,Entrepreneur,Single,Individual Health Insurance,Premier,18299,669409
273,Adult,44,127037,0,164266,4,High,Entrepreneur,Married,Family Health Insurance,Premier,25574,499383
274,Adult,31,103981,0,103981,1,High,Executive,Single,Accidental Coverage,Premier,15431,470322
275,Young Adult,19,94877,0,189754,4,Medium,White-collar,Married,Family Health Insurance,Lite,17575,499383
276,Adult,57,103981,0,144949,1,High,Executive,Married,Parents Health Insurance,Premier,18790,573070
277,Adult,50,107277,0,159477,1,High,Professional,Married,Protability Insurance,Premier,18613,326569
278,Teen,16,0,64266,64266,3,Medium,Dependent,Single,Family Health Insurance,Lite,17575,499383
279,Teen,18,0,139854,139854,2,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
280,Child,4,0,148817,148817,3,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
281,Teen,19,0,127037,127037,2,High,Dependent,Single,Family Health Insurance,Premier,25574,499383
282,Teen,13,0,94877,94877,5,Medium,Dependent,Single,Children Health Insurance,Lite,15600,299273
283,Child,3,0,108000,108000,1,High,Dependent,Single,Children Health Insurance,Premier,19730,299273
